,Areaname,Land Area (sq. mi)
18175,"Washington, IN",513.73
18177,"Wayne, IN",401.74
18179,"Wells, IN",368.09
18181,"White, IN",505.13
18183,"Whitley, IN",335.57
19001,"Adair, IA",569.27
19003,"Adams, IA",423.44
19005,"Allamakee, IA",639.08
19007,"Appanoose, IA",497.29
19009,"Audubon, IA",442.96
19011,"Benton, IA",716.27
19013,"Black Hawk, IA",565.77
19015,"Boone, IA",571.57
19017,"Bremer, IA",435.48
19019,"Buchanan, IA",571.02
19021,"Buena Vista, IA",574.92
19023,"Butler, IA",580.13
19025,"Calhoun, IA",569.97
19027,"Carroll, IA",569.44
19029,"Cass, IA",564.27
19031,"Cedar, IA",579.44
19033,"Cerro Gordo, IA",568.31
19035,"Cherokee, IA",576.91
19037,"Chickasaw, IA",504.38
19039,"Clarke, IA",431.17
19041,"Clay, IA",567.24
19043,"Clayton, IA",778.54
19045,"Clinton, IA",694.92
19047,"Crawford, IA",714.19
19049,"Dallas, IA",588.45
19051,"Davis, IA",502.19
19053,"Decatur, IA",531.88
19055,"Delaware, IA",577.76
19057,"Des Moines, IA",416.12
19059,"Dickinson, IA",380.61
19061,"Dubuque, IA",608.31
19063,"Emmet, IA",395.88
19065,"Fayette, IA",730.81
19067,"Floyd, IA",500.63
19069,"Franklin, IA",581.97
19071,"Fremont, IA",511.15
19073,"Greene, IA",569.57
19075,"Grundy, IA",501.86
19077,"Guthrie, IA",590.62
19079,"Hamilton, IA",576.75
19081,"Hancock, IA",571.01
19083,"Hardin, IA",569.31
19085,"Harrison, IA",696.85
19087,"Henry, IA",434.33
19089,"Howard, IA",473.25
19091,"Humboldt, IA",434.35
19093,"Ida, IA",431.51
19095,"Iowa, IA",586.46
19097,"Jackson, IA",636.04
19099,"Jasper, IA",730.42
19101,"Jefferson, IA",435.51
19103,"Johnson, IA",614.04
19105,"Jones, IA",575.62
19107,"Keokuk, IA",579.18
19109,"Kossuth, IA",972.72
19111,"Lee, IA",517.52
19113,"Linn, IA",716.88
19115,"Louisa, IA",401.77
19117,"Lucas, IA",430.59
19119,"Lyon, IA",587.65
19121,"Madison, IA",561.01
19123,"Mahaska, IA",570.86
19125,"Marion, IA",554.53
19127,"Marshall, IA",572.5
19129,"Mills, IA",437.44
19131,"Mitchell, IA",469.13
19133,"Monona, IA",694.07
19135,"Monroe, IA",433.72
19137,"Montgomery, IA",424.1
19139,"Muscatine, IA",437.47
19141,"O'Brien, IA",573.04
19143,"Osceola, IA",398.68
19145,"Page, IA",534.94
19147,"Palo Alto, IA",563.84
19149,"Plymouth, IA",862.89
19151,"Pocahontas, IA",577.24
19153,"Polk, IA",573.8
19155,"Pottawattamie, IA",950.28
19157,"Poweshiek, IA",584.93
19159,"Ringgold, IA",535.5
19161,"Sac, IA",575.01
19163,"Scott, IA",458.09
19165,"Shelby, IA",590.78
19167,"Sioux, IA",768.33
19169,"Story, IA",572.82
19171,"Tama, IA",721.01
19173,"Taylor, IA",531.9
19175,"Union, IA",423.65
19177,"Van Buren, IA",484.79
19179,"Wapello, IA",431.83
19181,"Warren, IA",569.83
19183,"Washington, IA",568.84
19185,"Wayne, IA",525.44
19187,"Webster, IA",715.62
19189,"Winnebago, IA",400.49
19191,"Winneshiek, IA",689.87
19193,"Woodbury, IA",872.83
19195,"Worth, IA",400.12
19197,"Wright, IA",580.42
20001,"Allen, KS",500.3
20003,"Anderson, KS",579.65
20005,"Atchison, KS",431.17
20007,"Barber, KS",1134.07
20009,"Barton, KS",895.4
20011,"Bourbon, KS",635.47
20013,"Brown, KS",570.87
20015,"Butler, KS",1429.86
20017,"Chase, KS",773.06
20019,"Chautauqua, KS",638.88
20021,"Cherokee, KS",587.57
20023,"Cheyenne, KS",1019.89
20025,"Clark, KS",974.63
20027,"Clay, KS",645.3
20029,"Cloud, KS",715.34
20031,"Coffey, KS",626.95
20033,"Comanche, KS",788.3
20035,"Cowley, KS",1125.75
20037,"Crawford, KS",589.76
20039,"Decatur, KS",893.52
20041,"Dickinson, KS",847.07
20043,"Doniphan, KS",393.41
20045,"Douglas, KS",455.87
20047,"Edwards, KS",621.89
20049,"Elk, KS",644.27
20051,"Ellis, KS",899.91
20053,"Ellsworth, KS",715.85
20055,"Finney, KS",1301.97
20057,"Ford, KS",1098.27
20059,"Franklin, KS",571.76
20061,"Geary, KS",384.62
20063,"Gove, KS",1071.67
20065,"Graham, KS",898.52
20067,"Grant, KS",574.8
20069,"Gray, KS",868.87
20071,"Greeley, KS",778.45
20073,"Greenwood, KS",1143.3
20075,"Hamilton, KS",996.51
20077,"Harper, KS",801.27
20079,"Harvey, KS",539.75
20081,"Haskell, KS",577.52
20083,"Hodgeman, KS",859.99
20085,"Jackson, KS",656.22
20087,"Jefferson, KS",532.57
20089,"Jewell, KS",909.78
20091,"Johnson, KS",473.38
20093,"Kearny, KS",870.54
20095,"Kingman, KS",863.36
20097,"Kiowa, KS",722.64
20099,"Labette, KS",645.3
20101,"Lane, KS",717.46
20103,"Leavenworth, KS",462.83
20105,"Lincoln, KS",719.4
20107,"Linn, KS",594.06
20109,"Logan, KS",1072.99
20111,"Lyon, KS",847.47
20113,"McPherson, KS",898.27
20115,"Marion, KS",944.29
20117,"Marshall, KS",900.18
20119,"Meade, KS",978.09
20121,"Miami, KS",575.66
20123,"Mitchell, KS",701.79
20125,"Montgomery, KS",643.53
20127,"Morris, KS",695.28
20129,"Morton, KS",729.73
20131,"Nemaha, KS",717.43
20133,"Neosho, KS",571.47
20135,"Ness, KS",1074.75
20137,"Norton, KS",878.13
20139,"Osage, KS",705.52
20141,"Osborne, KS",892.5
20143,"Ottawa, KS",720.73
20145,"Pawnee, KS",754.26
20147,"Phillips, KS",885.88
20149,"Pottawatomie, KS",841.02
20151,"Pratt, KS",735.05
20153,"Rawlins, KS",1069.42
20155,"Reno, KS",1255.35
20157,"Republic, KS",717.37
20159,"Rice, KS",726.24
20161,"Riley, KS",609.77
20163,"Rooks, KS",890.53
20165,"Rush, KS",717.76
20167,"Russell, KS",886.26
20169,"Saline, KS",720.23
20171,"Scott, KS",717.54
20173,"Sedgwick, KS",997.51
20175,"Seward, KS",639.5
20177,"Shawnee, KS",544.02
20179,"Sheridan, KS",895.96
20181,"Sherman, KS",1056.07
20183,"Smith, KS",895.47
20185,"Stafford, KS",792.05
20187,"Stanton, KS",680.35
20189,"Stevens, KS",727.29
20191,"Sumner, KS",1181.94
20193,"Thomas, KS",1074.69
20195,"Trego, KS",889.48
20197,"Wabaunsee, KS",794.3
20199,"Wallace, KS",913.65
20201,"Washington, KS",894.76
20203,"Wichita, KS",718.57
20205,"Wilson, KS",570.42
20207,"Woodson, KS",497.82
20209,"Wyandotte, KS",151.6
21001,"Adair, KY",405.28
21003,"Allen, KY",344.34
21005,"Anderson, KY",201.83
21007,"Ballard, KY",246.66
21009,"Barren, KY",487.54
21011,"Bath, KY",278.79
21013,"Bell, KY",359.0
21015,"Boone, KY",246.36
21017,"Bourbon, KY",289.72
21019,"Boyd, KY",159.86
21021,"Boyle, KY",180.17
21023,"Bracken, KY",205.61
21025,"Breathitt, KY",492.41
21027,"Breckinridge, KY",567.17
21029,"Bullitt, KY",297.02
21031,"Butler, KY",426.09
21033,"Caldwell, KY",344.79
21035,"Calloway, KY",385.02
21037,"Campbell, KY",151.31
21039,"Carlisle, KY",189.43
21041,"Carroll, KY",128.57
21043,"Carter, KY",409.5
21045,"Casey, KY",444.23
21047,"Christian, KY",717.5
21049,"Clark, KY",252.46
21051,"Clay, KY",469.25
21053,"Clinton, KY",197.25
21055,"Crittenden, KY",359.95
21057,"Cumberland, KY",305.18
21059,"Daviess, KY",458.35
21061,"Edmonson, KY",302.88
21063,"Elliott, KY",234.32
21065,"Estill, KY",253.08
21067,"Fayette, KY",283.65
21069,"Fleming, KY",348.54
21071,"Floyd, KY",393.35
21073,"Franklin, KY",207.75
21075,"Fulton, KY",205.5
21077,"Gallatin, KY",101.23
21079,"Garrard, KY",230.08
21081,"Grant, KY",257.97
21083,"Graves, KY",551.74
21085,"Grayson, KY",496.7
21087,"Green, KY",286.03
21089,"Greenup, KY",344.4
21091,"Hancock, KY",187.65
21093,"Hardin, KY",623.28
21095,"Harlan, KY",465.83
21097,"Harrison, KY",306.36
21099,"Hart, KY",412.09
21101,"Henderson, KY",436.67
21103,"Henry, KY",286.28
21105,"Hickman, KY",242.27
21107,"Hopkins, KY",542.0
21109,"Jackson, KY",345.2
21111,"Jefferson, KY",380.42
21113,"Jessamine, KY",172.12
21115,"Johnson, KY",261.95
21117,"Kenton, KY",160.25
21119,"Knott, KY",351.52
21121,"Knox, KY",386.3
21123,"Larue, KY",261.52
21125,"Laurel, KY",433.95
21127,"Lawrence, KY",415.6
21129,"Lee, KY",208.86
21131,"Leslie, KY",400.84
21133,"Letcher, KY",337.91
21135,"Lewis, KY",482.84
21137,"Lincoln, KY",334.1
21139,"Livingston, KY",313.13
21141,"Logan, KY",552.13
21143,"Lyon, KY",213.84
21145,"McCracken, KY",248.74
21147,"McCreary, KY",426.8
21149,"McLean, KY",252.47
21151,"Madison, KY",437.29
21153,"Magoffin, KY",308.44
21155,"Marion, KY",343.01
21157,"Marshall, KY",301.25
21159,"Martin, KY",229.61
21161,"Mason, KY",240.13
21163,"Meade, KY",305.42
21165,"Menifee, KY",203.59
21167,"Mercer, KY",248.8
21169,"Metcalfe, KY",289.65
21171,"Monroe, KY",329.37
21173,"Montgomery, KY",197.37
21175,"Morgan, KY",381.13
21177,"Muhlenberg, KY",467.08
21179,"Nelson, KY",417.51
21181,"Nicholas, KY",195.17
21183,"Ohio, KY",587.27
21185,"Oldham, KY",187.22
21187,"Owen, KY",351.1
21189,"Owsley, KY",197.41
21191,"Pendleton, KY",277.16
21193,"Perry, KY",339.67
21195,"Pike, KY",786.83
21197,"Powell, KY",178.98
21199,"Pulaski, KY",658.41
21201,"Robertson, KY",99.91
21203,"Rockcastle, KY",316.55
21205,"Rowan, KY",279.8
21207,"Russell, KY",253.66
21209,"Scott, KY",281.77
21211,"Shelby, KY",379.64
21213,"Simpson, KY",234.2
21215,"Spencer, KY",186.68
21217,"Taylor, KY",266.33
21219,"Todd, KY",374.5
21221,"Trigg, KY",441.43
21223,"Trimble, KY",151.65
21225,"Union, KY",342.85
21227,"Warren, KY",541.6
21229,"Washington, KY",297.27
21231,"Wayne, KY",458.17
21233,"Webster, KY",331.94
21235,"Whitley, KY",437.83
21237,"Wolfe, KY",222.17
21239,"Woodford, KY",188.78
22001,"Acadia, LA",655.12
22003,"Allen, LA",761.85
22005,"Ascension, LA",289.98
22007,"Assumption, LA",338.66
22009,"Avoyelles, LA",832.43
22011,"Beauregard, LA",1157.34
22013,"Bienville, LA",811.27
22015,"Bossier, LA",840.06
22017,"Caddo, LA",878.54
22019,"Calcasieu, LA",1063.66
22021,"Caldwell, LA",529.43
22023,"Cameron, LA",1284.89
22025,"Catahoula, LA",708.03
22027,"Claiborne, LA",754.88
22029,"Concordia, LA",696.92
22031,"De Soto, LA",875.58
22033,"East Baton Rouge, LA",455.37
22035,"East Carroll, LA",420.7
22037,"East Feliciana, LA",453.41
22039,"Evangeline, LA",662.38
22041,"Franklin, LA",624.59
22043,"Grant, LA",643.03
22045,"Iberia, LA",574.11
22047,"Iberville, LA",618.63
22049,"Jackson, LA",569.18
22051,"Jefferson, LA",295.63
22053,"Jefferson Davis, LA",651.33
22055,"Lafayette, LA",268.72
22057,"Lafourche, LA",1068.21
22059,"La Salle, LA",624.68
22061,"Lincoln, LA",471.74
22063,"Livingston, LA",648.17
22065,"Madison, LA",624.44
22067,"Morehouse, LA",794.93
22069,"Natchitoches, LA",1252.25
22071,"Orleans, LA",169.42
22073,"Ouachita, LA",610.41
22075,"Plaquemines, LA",779.91
22077,"Pointe Coupee, LA",557.35
22079,"Rapides, LA",1317.96
22081,"Red River, LA",389.09
22083,"Richland, LA",559.04
22085,"Sabine, LA",866.66
22087,"St. Bernard, LA",377.52
22089,"St. Charles, LA",279.08
22091,"St. Helena, LA",408.4
22093,"St. James, LA",241.54
22095,"St. John the Baptist, LA",213.07
22097,"St. Landry, LA",923.88
22099,"St. Martin, LA",737.65
22101,"St. Mary, LA",555.38
22103,"St. Tammany, LA",845.55
22105,"Tangipahoa, LA",791.28
22107,"Tensas, LA",602.78
22109,"Terrebonne, LA",1231.82
22111,"Union, LA",876.99
22113,"Vermilion, LA",1173.2
22115,"Vernon, LA",1327.91
22117,"Washington, LA",669.53
22119,"Webster, LA",593.03
22121,"West Baton Rouge, LA",192.39
22123,"West Carroll, LA",359.65
22125,"West Feliciana, LA",403.21
22127,"Winn, LA",950.09
23001,"Androscoggin, ME",467.93
23003,"Aroostook, ME",6671.33
23005,"Cumberland, ME",835.24
23007,"Franklin, ME",1696.61
23009,"Hancock, ME",1586.89
23011,"Kennebec, ME",867.52
23013,"Knox, ME",365.13
23015,"Lincoln, ME",455.82
23017,"Oxford, ME",2076.84
23019,"Penobscot, ME",3397.36
23021,"Piscataquis, ME",3960.86
23023,"Sagadahoc, ME",253.7
23025,"Somerset, ME",3924.4
23027,"Waldo, ME",729.92
23029,"Washington, ME",2562.66
23031,"York, ME",990.71
24001,"Allegany, MD",424.16
24003,"Anne Arundel, MD",414.9
24005,"Baltimore, MD",598.3
24009,"Calvert, MD",213.15
24011,"Caroline, MD",319.42
24013,"Carroll, MD",447.6
24015,"Cecil, MD",346.27
24017,"Charles, MD",457.75
24019,"Dorchester, MD",540.77
24021,"Frederick, MD",660.22
24023,"Garrett, MD",647.1
24025,"Harford, MD",437.09
24027,"Howard, MD",250.74
24029,"Kent, MD",277.03
24031,"Montgomery, MD",491.25
24033,"Prince George's, MD",482.69
24035,"Queen Anne's, MD",371.91
24037,"St. Mary's, MD",357.18
24039,"Somerset, MD",319.72
24041,"Talbot, MD",268.54
24043,"Washington, MD",457.78
24045,"Wicomico, MD",374.44
24047,"Worcester, MD",468.28
24510,"Baltimore city, MD",80.94
25001,"Barnstable, MA",393.72
25003,"Berkshire, MA",926.83
25005,"Bristol, MA",553.1
25007,"Dukes, MA",103.25
25009,"Essex, MA",492.56
25011,"Franklin, MA",699.32
25013,"Hampden, MA",617.14
25015,"Hampshire, MA",527.26
25017,"Middlesex, MA",817.82
25019,"Nantucket, MA",44.97
25021,"Norfolk, MA",396.11
25023,"Plymouth, MA",659.08
25025,"Suffolk, MA",58.15
25027,"Worcester, MA",1510.77
26001,"Alcona, MI",674.59
26003,"Alger, MI",915.07
26005,"Allegan, MI",825.23
26007,"Alpena, MI",571.86
26009,"Antrim, MI",475.7
26011,"Arenac, MI",363.19
26013,"Baraga, MI",898.26
26015,"Barry, MI",553.09
26017,"Bay, MI",442.3
26019,"Benzie, MI",319.7
26021,"Berrien, MI",567.75
26023,"Branch, MI",506.37
26025,"Calhoun, MI",706.23
26027,"Cass, MI",490.06
26029,"Charlevoix, MI",416.34
26031,"Cheboygan, MI",715.26
26033,"Chippewa, MI",1558.42
26035,"Clare, MI",564.32
26037,"Clinton, MI",566.41
26039,"Crawford, MI",556.28
26041,"Delta, MI",1171.1
26043,"Dickinson, MI",761.4
26045,"Eaton, MI",575.18
26047,"Emmet, MI",467.49
26049,"Genesee, MI",636.98
26051,"Gladwin, MI",501.78
26053,"Gogebic, MI",1101.85
26055,"Grand Traverse, MI",464.33
26057,"Gratiot, MI",568.46
26059,"Hillsdale, MI",598.13
26061,"Houghton, MI",1009.1
26063,"Huron, MI",835.71
26065,"Ingham, MI",556.12
26067,"Ionia, MI",571.3
26069,"Iosco, MI",549.1
26071,"Iron, MI",1166.15
26073,"Isabella, MI",572.68
26075,"Jackson, MI",701.67
26077,"Kalamazoo, MI",561.66
26079,"Kalkaska, MI",559.87
26081,"Kent, MI",846.95
26083,"Keweenaw, MI",540.11
26085,"Lake, MI",567.37
26087,"Lapeer, MI",643.01
26089,"Leelanau, MI",347.17
26091,"Lenawee, MI",749.56
26093,"Livingston, MI",565.25
26095,"Luce, MI",899.08
26097,"Mackinac, MI",1021.57
26099,"Macomb, MI",479.22
26101,"Manistee, MI",542.15
26103,"Marquette, MI",1808.4
26105,"Mason, MI",495.07
26107,"Mecosta, MI",555.07
26109,"Menominee, MI",1044.08
26111,"Midland, MI",516.25
26113,"Missaukee, MI",564.73
26115,"Monroe, MI",549.39
26117,"Montcalm, MI",705.4
26119,"Montmorency, MI",546.66
26121,"Muskegon, MI",499.25
26123,"Newaygo, MI",813.2
26125,"Oakland, MI",867.66
26127,"Oceana, MI",512.07
26129,"Ogemaw, MI",563.49
26131,"Ontonagon, MI",1311.23
26133,"Osceola, MI",566.39
26135,"Oscoda, MI",565.73
26137,"Otsego, MI",514.97
26139,"Ottawa, MI",563.47
26141,"Presque Isle, MI",658.72
26143,"Roscommon, MI",519.64
26145,"Saginaw, MI",800.11
26147,"St. Clair, MI",721.17
26149,"St. Joseph, MI",500.59
26151,"Sanilac, MI",962.57
26153,"Schoolcraft, MI",1171.36
26155,"Shiawassee, MI",530.67
26157,"Tuscola, MI",803.13
26159,"Van Buren, MI",607.47
26161,"Washtenaw, MI",705.97
26163,"Wayne, MI",612.08
26165,"Wexford, MI",565.0
27001,"Aitkin, MN",1821.66
27003,"Anoka, MN",423.01
27005,"Becker, MN",1315.2
27007,"Beltrami, MN",2504.94
27009,"Benton, MN",408.3
27011,"Big Stone, MN",499.02
27013,"Blue Earth, MN",747.84
27015,"Brown, MN",611.09
27017,"Carlton, MN",861.38
27019,"Carver, MN",354.33
27021,"Cass, MN",2021.54
27023,"Chippewa, MN",581.12
27025,"Chisago, MN",414.86
27027,"Clay, MN",1045.37
27029,"Clearwater, MN",998.94
27031,"Cook, MN",1452.28
27033,"Cottonwood, MN",638.61
27035,"Crow Wing, MN",999.1
27037,"Dakota, MN",562.17
27039,"Dodge, MN",439.28
27041,"Douglas, MN",637.3
27043,"Faribault, MN",712.48
27045,"Fillmore, MN",861.3
27047,"Freeborn, MN",707.09
27049,"Goodhue, MN",756.84
27051,"Grant, MN",548.16
27053,"Hennepin, MN",553.59
27055,"Houston, MN",552.06
27057,"Hubbard, MN",925.68
27059,"Isanti, MN",435.79
27061,"Itasca, MN",2667.72
27063,"Jackson, MN",702.98
27065,"Kanabec, MN",521.59
27067,"Kandiyohi, MN",796.79
27069,"Kittson, MN",1098.8
27071,"Koochiching, MN",3104.07
27073,"Lac qui Parle, MN",765.02
27075,"Lake, MN",2109.29
27077,"Lake of the Woods, MN",1297.87
27079,"Le Sueur, MN",448.76
27081,"Lincoln, MN",536.76
27083,"Lyon, MN",714.56
27085,"McLeod, MN",491.47
27087,"Mahnomen, MN",557.88
27089,"Marshall, MN",1775.07
27091,"Martin, MN",712.35
27093,"Meeker, MN",608.18
27095,"Mille Lacs, MN",572.31
27097,"Morrison, MN",1125.06
27099,"Mower, MN",711.33
27101,"Murray, MN",704.7
27103,"Nicollet, MN",448.49
27105,"Nobles, MN",715.11
27107,"Norman, MN",872.79
27109,"Olmsted, MN",653.35
27111,"Otter Tail, MN",1972.07
27113,"Pennington, MN",616.57
27115,"Pine, MN",1411.29
27117,"Pipestone, MN",465.06
27119,"Polk, MN",1971.13
27121,"Pope, MN",669.71
27123,"Ramsey, MN",152.21
27125,"Red Lake, MN",432.41
27127,"Redwood, MN",878.57
27129,"Renville, MN",982.91
27131,"Rice, MN",495.68
27133,"Rock, MN",482.46
27135,"Roseau, MN",1671.6
27137,"St. Louis, MN",6247.4
27139,"Scott, MN",356.48
27141,"Sherburne, MN",432.92
27143,"Sibley, MN",588.78
27145,"Stearns, MN",1343.13
27147,"Steele, MN",429.65
27149,"Stevens, MN",563.6
27151,"Swift, MN",742.08
27153,"Todd, MN",944.98
27155,"Traverse, MN",573.9
27157,"Wabasha, MN",522.98
27159,"Wadena, MN",536.27
27161,"Waseca, MN",423.36
27163,"Washington, MN",384.28
27165,"Watonwan, MN",434.95
27167,"Wilkin, MN",750.96
27169,"Winona, MN",626.21
27171,"Wright, MN",661.46
27173,"Yellow Medicine, MN",759.1
28001,"Adams, MS",462.41
28003,"Alcorn, MS",400.04
28005,"Amite, MS",730.1
28007,"Attala, MS",734.98
28009,"Benton, MS",406.62
28011,"Bolivar, MS",876.57
28013,"Calhoun, MS",586.57
28015,"Carroll, MS",628.24
28017,"Chickasaw, MS",501.78
28019,"Choctaw, MS",418.18
28021,"Claiborne, MS",487.41
28023,"Clarke, MS",691.55
28025,"Clay, MS",410.08
28027,"Coahoma, MS",552.44
28029,"Copiah, MS",777.24
28031,"Covington, MS",413.79
28033,"DeSoto, MS",476.15
28035,"Forrest, MS",466.31
28037,"Franklin, MS",563.78
28039,"George, MS",478.71
28041,"Greene, MS",712.76
28043,"Grenada, MS",422.11
28045,"Hancock, MS",473.75
28047,"Harrison, MS",573.99
28049,"Hinds, MS",869.74
28051,"Holmes, MS",756.7
28053,"Humphreys, MS",418.49
28055,"Issaquena, MS",413.05
28057,"Itawamba, MS",532.79
28059,"Jackson, MS",722.75
28061,"Jasper, MS",676.24
28063,"Jefferson, MS",519.93
28065,"Jefferson Davis, MS",408.44
28067,"Jones, MS",694.8
28069,"Kemper, MS",766.18
28071,"Lafayette, MS",631.71
28073,"Lamar, MS",497.06
28075,"Lauderdale, MS",703.63
28077,"Lawrence, MS",430.67
28079,"Leake, MS",583.0
28081,"Lee, MS",449.95
28083,"Leflore, MS",592.54
28085,"Lincoln, MS",586.12
28087,"Lowndes, MS",505.51
28089,"Madison, MS",714.51
28091,"Marion, MS",542.38
28093,"Marshall, MS",706.19
28095,"Monroe, MS",765.09
28097,"Montgomery, MS",406.98
28099,"Neshoba, MS",570.14
28101,"Newton, MS",578.1
28103,"Noxubee, MS",695.14
28105,"Oktibbeha, MS",458.2
28107,"Panola, MS",685.14
28109,"Pearl River, MS",810.86
28111,"Perry, MS",647.25
28113,"Pike, MS",409.02
28115,"Pontotoc, MS",497.69
28117,"Prentiss, MS",414.98
28119,"Quitman, MS",405.01
28121,"Rankin, MS",775.49
28123,"Scott, MS",609.19
28125,"Sharkey, MS",431.72
28127,"Simpson, MS",589.16
28129,"Smith, MS",636.25
28131,"Stone, MS",445.49
28133,"Sunflower, MS",697.75
28135,"Tallahatchie, MS",645.29
28137,"Tate, MS",404.76
28139,"Tippah, MS",457.82
28141,"Tishomingo, MS",424.25
28143,"Tunica, MS",454.67
28145,"Union, MS",415.6
28147,"Walthall, MS",403.94
28149,"Warren, MS",588.5
28151,"Washington, MS",724.74
28153,"Wayne, MS",810.75
28155,"Webster, MS",420.94
28157,"Wilkinson, MS",678.11
28159,"Winston, MS",607.25
28161,"Yalobusha, MS",467.13
28163,"Yazoo, MS",922.95
29001,"Adair, MO",567.32
29003,"Andrew, MO",432.7
29005,"Atchison, MO",547.3
29007,"Audrain, MO",692.24
29009,"Barry, MO",778.25
29011,"Barton, MO",591.92
29013,"Bates, MO",836.69
29015,"Benton, MO",704.06
29017,"Bollinger, MO",617.91
29019,"Boone, MO",685.41
29021,"Buchanan, MO",408.03
29023,"Butler, MO",694.67
29025,"Caldwell, MO",426.39
29027,"Callaway, MO",834.58
29029,"Camden, MO",655.92
29031,"Cape Girardeau, MO",578.54
29033,"Carroll, MO",694.62
29035,"Carter, MO",507.36
29037,"Cass, MO",696.84
29039,"Cedar, MO",474.48
29041,"Chariton, MO",751.18
29043,"Christian, MO",562.65
29045,"Clark, MO",504.69
29047,"Clay, MO",397.3
29049,"Clinton, MO",418.96
29051,"Cole, MO",393.75
29053,"Cooper, MO",564.77
29055,"Crawford, MO",742.52
29057,"Dade, MO",490.01
29059,"Dallas, MO",540.77
29061,"Daviess, MO",563.24
29063,"DeKalb, MO",421.36
29065,"Dent, MO",752.79
29067,"Douglas, MO",813.63
29069,"Dunklin, MO",541.07
29071,"Franklin, MO",922.68
29073,"Gasconade, MO",517.8
29075,"Gentry, MO",491.42
29077,"Greene, MO",675.3
29079,"Grundy, MO",435.28
29081,"Harrison, MO",722.5
29083,"Henry, MO",696.95
29085,"Hickory, MO",399.09
29087,"Holt, MO",462.69
29089,"Howard, MO",463.85
29091,"Howell, MO",927.25
29093,"Iron, MO",550.26
29095,"Jackson, MO",604.46
29097,"Jasper, MO",638.49
29099,"Jefferson, MO",656.63
29101,"Johnson, MO",829.28
29103,"Knox, MO",504.01
29105,"Laclede, MO",764.72
29107,"Lafayette, MO",628.43
29109,"Lawrence, MO",611.74
29111,"Lewis, MO",505.04
29113,"Lincoln, MO",626.56
29115,"Linn, MO",615.56
29117,"Livingston, MO",532.33
29119,"McDonald, MO",539.48
29121,"Macon, MO",801.23
29123,"Madison, MO",494.39
29125,"Maries, MO",526.98
29127,"Marion, MO",436.92
29129,"Mercer, MO",453.84
29131,"Miller, MO",592.6
29133,"Mississippi, MO",411.58
29135,"Moniteau, MO",415.03
29137,"Monroe, MO",647.65
29139,"Montgomery, MO",536.25
29141,"Morgan, MO",597.63
29143,"New Madrid, MO",674.84
29145,"Newton, MO",624.77
29147,"Nodaway, MO",876.96
29149,"Oregon, MO",789.8
29151,"Osage, MO",604.35
29153,"Ozark, MO",744.97
29155,"Pemiscot, MO",492.54
29157,"Perry, MO",474.35
29159,"Pettis, MO",682.22
29161,"Phelps, MO",671.78
29163,"Pike, MO",670.44
29165,"Platte, MO",420.19
29167,"Polk, MO",635.52
29169,"Pulaski, MO",547.1
29171,"Putnam, MO",517.32
29173,"Ralls, MO",469.78
29175,"Randolph, MO",482.68
29177,"Ray, MO",568.81
