,Areaname,Land Area (sq. mi)
29179,"Reynolds, MO",808.48
29181,"Ripley, MO",629.54
29183,"St. Charles, MO",560.44
29185,"St. Clair, MO",669.98
29186,"Ste. Genevieve, MO",499.15
29187,"St. Francois, MO",451.89
29189,"St. Louis, MO",507.8
29195,"Saline, MO",755.5
29197,"Schuyler, MO",307.3
29199,"Scotland, MO",436.67
29201,"Scott, MO",419.99
29203,"Shannon, MO",1003.82
29205,"Shelby, MO",500.86
29207,"Stoddard, MO",823.22
29209,"Stone, MO",464.03
29211,"Sullivan, MO",647.98
29213,"Taney, MO",632.44
29215,"Texas, MO",1177.27
29217,"Vernon, MO",826.4
29219,"Warren, MO",428.6
29221,"Washington, MO",759.91
29223,"Wayne, MO",759.18
29225,"Webster, MO",592.56
29227,"Worth, MO",266.61
29229,"Wright, MO",681.77
29510,"St. Louis city, MO",61.91
30001,"Beaverhead, MT",5541.62
30003,"Big Horn, MT",4995.46
30005,"Blaine, MT",4227.55
30007,"Broadwater, MT",1192.54
30009,"Carbon, MT",2048.79
30011,"Carter, MT",3340.75
30013,"Cascade, MT",2698.16
30015,"Chouteau, MT",3972.49
30017,"Custer, MT",3783.36
30019,"Daniels, MT",1426.11
30021,"Dawson, MT",2371.87
30023,"Deer Lodge, MT",736.53
30025,"Fallon, MT",1620.77
30027,"Fergus, MT",4339.8
30029,"Flathead, MT",5087.66
30031,"Gallatin, MT",2602.69
30033,"Garfield, MT",4675.36
30035,"Glacier, MT",2995.94
30037,"Golden Valley, MT",1175.34
30039,"Granite, MT",1727.42
30041,"Hill, MT",2898.96
30043,"Jefferson, MT",1656.26
30045,"Judith Basin, MT",1869.82
30047,"Lake, MT",1490.15
30049,"Lewis and Clark, MT",3458.83
30051,"Liberty, MT",1430.05
30053,"Lincoln, MT",3612.92
30055,"McCone, MT",2643.17
30057,"Madison, MT",3587.48
30059,"Meagher, MT",2391.91
30061,"Mineral, MT",1219.44
30063,"Missoula, MT",2593.42
30065,"Musselshell, MT",1868.16
30067,"Park, MT",2803.06
30069,"Petroleum, MT",1654.87
30071,"Phillips, MT",5140.04
30073,"Pondera, MT",1622.86
30075,"Powder River, MT",3297.3
30077,"Powell, MT",2326.39
30079,"Prairie, MT",1736.74
30081,"Ravalli, MT",2390.82
30083,"Richland, MT",2084.14
30085,"Roosevelt, MT",2354.79
30087,"Rosebud, MT",5010.4
30089,"Sanders, MT",2760.52
30091,"Sheridan, MT",1677.08
30093,"Silver Bow, MT",718.48
30095,"Stillwater, MT",1795.35
30097,"Sweet Grass, MT",1855.21
30099,"Teton, MT",2272.38
30101,"Toole, MT",1915.65
30103,"Treasure, MT",977.4
30105,"Valley, MT",4925.82
30107,"Wheatland, MT",1423.2
30109,"Wibaux, MT",889.27
30111,"Yellowstone, MT",2633.29
31001,"Adams, NE",563.27
31003,"Antelope, NE",857.22
31005,"Arthur, NE",715.36
31007,"Banner, NE",746.11
31009,"Blaine, NE",710.87
31011,"Boone, NE",686.55
31013,"Box Butte, NE",1075.29
31015,"Boyd, NE",539.94
31017,"Brown, NE",1221.33
31019,"Buffalo, NE",968.11
31021,"Burt, NE",491.58
31023,"Butler, NE",584.91
31025,"Cass, NE",557.45
31027,"Cedar, NE",740.31
31029,"Chase, NE",894.42
31031,"Cherry, NE",5960.42
31033,"Cheyenne, NE",1196.29
31035,"Clay, NE",572.29
31037,"Colfax, NE",411.66
31039,"Cuming, NE",570.62
31041,"Custer, NE",2575.52
31043,"Dakota, NE",264.26
31045,"Dawes, NE",1396.46
31047,"Dawson, NE",1013.1
31049,"Deuel, NE",439.85
31051,"Dixon, NE",476.23
31053,"Dodge, NE",528.71
31055,"Douglas, NE",328.46
31057,"Dundy, NE",919.68
31059,"Fillmore, NE",575.37
31061,"Franklin, NE",575.82
31063,"Frontier, NE",974.59
31065,"Furnas, NE",719.13
31067,"Gage, NE",851.49
31069,"Garden, NE",1704.28
31071,"Garfield, NE",569.79
31073,"Gosper, NE",458.16
31075,"Grant, NE",776.22
31077,"Greeley, NE",569.81
31079,"Hall, NE",546.29
31081,"Hamilton, NE",542.88
31083,"Harlan, NE",553.47
31085,"Hayes, NE",713.06
31087,"Hitchcock, NE",709.94
31089,"Holt, NE",2412.4
31091,"Hooker, NE",721.12
31093,"Howard, NE",569.34
31095,"Jefferson, NE",570.19
31097,"Johnson, NE",376.05
31099,"Kearney, NE",516.24
31101,"Keith, NE",1061.6
31103,"Keya Paha, NE",773.07
31105,"Kimball, NE",951.85
31107,"Knox, NE",1108.35
31109,"Lancaster, NE",837.55
31111,"Lincoln, NE",2564.07
31113,"Logan, NE",570.66
31115,"Loup, NE",568.29
31117,"McPherson, NE",858.98
31119,"Madison, NE",572.74
31121,"Merrick, NE",484.88
31123,"Morrill, NE",1423.84
31125,"Nance, NE",441.63
31127,"Nemaha, NE",407.38
31129,"Nuckolls, NE",575.16
31131,"Otoe, NE",615.63
31133,"Pawnee, NE",431.08
31135,"Perkins, NE",883.34
31137,"Phelps, NE",539.79
31139,"Pierce, NE",573.25
31141,"Platte, NE",674.06
31143,"Polk, NE",438.35
31145,"Red Willow, NE",716.99
31147,"Richardson, NE",551.84
31149,"Rock, NE",1008.32
31151,"Saline, NE",574.02
31153,"Sarpy, NE",238.99
31155,"Saunders, NE",750.23
31157,"Scotts Bluff, NE",739.4
31159,"Seward, NE",571.43
31161,"Sheridan, NE",2440.86
31163,"Sherman, NE",565.83
31165,"Sioux, NE",2066.74
31167,"Stanton, NE",427.95
31169,"Thayer, NE",573.81
31171,"Thomas, NE",713.24
31173,"Thurston, NE",393.58
31175,"Valley, NE",568.05
31177,"Washington, NE",389.96
31179,"Wayne, NE",442.92
31181,"Webster, NE",574.91
31183,"Wheeler, NE",575.18
31185,"York, NE",572.51
32001,"Churchill, NV",4930.46
32003,"Clark, NV",7891.43
32005,"Douglas, NV",709.72
32007,"Elko, NV",17169.83
32009,"Esmeralda, NV",3581.88
32011,"Eureka, NV",4175.68
32013,"Humboldt, NV",9640.76
32015,"Lander, NV",5490.11
32017,"Lincoln, NV",10633.2
32019,"Lyon, NV",2001.19
32021,"Mineral, NV",3752.84
32023,"Nye, NV",18181.92
32027,"Pershing, NV",6036.56
32029,"Storey, NV",262.92
32031,"Washoe, NV",6302.37
32033,"White Pine, NV",8875.65
32510,"Carson City city, NV",144.66
33001,"Belknap, NH",400.23
33003,"Carroll, NH",931.06
33005,"Cheshire, NH",706.66
33007,"Coos, NH",1794.69
33009,"Grafton, NH",1708.75
33011,"Hillsborough, NH",876.14
33013,"Merrimack, NH",934.12
33015,"Rockingham, NH",694.72
33017,"Strafford, NH",368.98
33019,"Sullivan, NH",537.31
34001,"Atlantic, NJ",555.7
34003,"Bergen, NJ",233.01
34005,"Burlington, NJ",798.58
34007,"Camden, NJ",221.26
34009,"Cape May, NJ",251.43
34011,"Cumberland, NJ",483.7
34013,"Essex, NJ",126.21
34015,"Gloucester, NJ",322.01
34017,"Hudson, NJ",46.19
34019,"Hunterdon, NJ",427.82
34021,"Mercer, NJ",224.56
34023,"Middlesex, NJ",308.91
34025,"Monmouth, NJ",468.79
34027,"Morris, NJ",460.18
34029,"Ocean, NJ",628.78
34031,"Passaic, NJ",184.59
34033,"Salem, NJ",331.9
34035,"Somerset, NJ",301.81
34037,"Sussex, NJ",519.01
34039,"Union, NJ",102.86
34041,"Warren, NJ",356.92
35001,"Bernalillo, NM",1160.83
35003,"Catron, NM",6923.69
35005,"Chaves, NM",6065.28
35006,"Cibola, NM",4539.48
35007,"Colfax, NM",3758.06
35009,"Curry, NM",1404.8
35011,"De Baca, NM",2322.62
35013,"Dona Ana, NM",3807.51
35015,"Eddy, NM",4175.73
35017,"Grant, NM",3961.63
35019,"Guadalupe, NM",3030.48
35021,"Harding, NM",2125.44
35023,"Hidalgo, NM",3436.86
35025,"Lea, NM",4390.93
35027,"Lincoln, NM",4831.09
35028,"Los Alamos, NM",109.17
35029,"Luna, NM",2965.19
35031,"McKinley, NM",5449.81
35033,"Mora, NM",1931.27
35035,"Otero, NM",6613.21
35037,"Quay, NM",2874.35
35039,"Rio Arriba, NM",5860.84
35041,"Roosevelt, NM",2447.43
35043,"Sandoval, NM",3710.65
35045,"San Juan, NM",5513.07
35047,"San Miguel, NM",4715.82
35049,"Santa Fe, NM",1909.41
35051,"Sierra, NM",4178.96
35053,"Socorro, NM",6646.68
35055,"Taos, NM",2203.11
35057,"Torrance, NM",3344.85
35059,"Union, NM",3823.74
35061,"Valencia, NM",1066.18
36001,"Albany, NY",522.8
36003,"Allegany, NY",1029.31
36005,"Bronx, NY",42.1
36007,"Broome, NY",705.77
36009,"Cattaraugus, NY",1308.35
36011,"Cayuga, NY",691.58
36013,"Chautauqua, NY",1060.23
36015,"Chemung, NY",407.35
36017,"Chenango, NY",893.55
36019,"Clinton, NY",1037.85
36021,"Columbia, NY",634.71
36023,"Cortland, NY",498.76
36025,"Delaware, NY",1442.44
36027,"Dutchess, NY",795.63
36029,"Erie, NY",1042.69
36031,"Essex, NY",1794.23
36033,"Franklin, NY",1629.12
36035,"Fulton, NY",495.47
36037,"Genesee, NY",492.94
36039,"Greene, NY",647.16
36041,"Hamilton, NY",1717.37
36043,"Herkimer, NY",1411.47
36045,"Jefferson, NY",1268.59
36047,"Kings, NY",70.82
36049,"Lewis, NY",1274.68
36051,"Livingston, NY",631.76
36053,"Madison, NY",654.84
36055,"Monroe, NY",657.21
36057,"Montgomery, NY",403.04
36059,"Nassau, NY",284.72
36061,"New York, NY",22.83
36063,"Niagara, NY",522.36
36065,"Oneida, NY",1212.43
36067,"Onondaga, NY",778.39
36069,"Ontario, NY",644.07
36071,"Orange, NY",811.69
36073,"Orleans, NY",391.26
36075,"Oswego, NY",951.65
36077,"Otsego, NY",1001.7
36079,"Putnam, NY",230.31
36081,"Queens, NY",108.53
36083,"Rensselaer, NY",652.43
36085,"Richmond, NY",58.37
36087,"Rockland, NY",173.55
36089,"St. Lawrence, NY",2680.38
36091,"Saratoga, NY",809.98
36093,"Schenectady, NY",204.52
36095,"Schoharie, NY",621.82
36097,"Schuyler, NY",328.33
36099,"Seneca, NY",323.71
36101,"Steuben, NY",1390.56
36103,"Suffolk, NY",912.05
36105,"Sullivan, NY",968.13
36107,"Tioga, NY",518.6
36109,"Tompkins, NY",474.65
36111,"Ulster, NY",1124.24
36113,"Warren, NY",866.95
36115,"Washington, NY",831.18
36117,"Wayne, NY",603.83
36119,"Westchester, NY",430.5
36121,"Wyoming, NY",592.75
36123,"Yates, NY",338.14
37001,"Alamance, NC",423.94
37003,"Alexander, NC",259.99
37005,"Alleghany, NC",235.06
37007,"Anson, NC",531.45
37009,"Ashe, NC",426.14
37011,"Avery, NC",247.09
37013,"Beaufort, NC",827.19
37015,"Bertie, NC",699.27
37017,"Bladen, NC",874.33
37019,"Brunswick, NC",846.97
37021,"Buncombe, NC",656.67
37023,"Burke, NC",507.1
37025,"Cabarrus, NC",361.75
37027,"Caldwell, NC",471.57
37029,"Camden, NC",240.56
37031,"Carteret, NC",506.25
37033,"Caswell, NC",424.92
37035,"Catawba, NC",398.72
37037,"Chatham, NC",682.19
37039,"Cherokee, NC",455.43
37041,"Chowan, NC",172.47
37043,"Clay, NC",214.75
37045,"Cleveland, NC",464.25
37047,"Columbus, NC",937.29
37049,"Craven, NC",708.96
37051,"Cumberland, NC",652.32
37053,"Currituck, NC",261.85
37055,"Dare, NC",383.42
37057,"Davidson, NC",552.68
37059,"Davie, NC",264.11
37061,"Duplin, NC",816.22
37063,"Durham, NC",285.98
37065,"Edgecombe, NC",505.34
37067,"Forsyth, NC",408.15
37069,"Franklin, NC",491.68
37071,"Gaston, NC",356.03
37073,"Gates, NC",340.45
37075,"Graham, NC",292.08
37077,"Granville, NC",531.57
37079,"Greene, NC",265.93
37081,"Guilford, NC",645.7
37083,"Halifax, NC",724.09
37085,"Harnett, NC",594.99
37087,"Haywood, NC",553.69
37089,"Henderson, NC",373.07
37091,"Hertford, NC",353.06
37093,"Hoke, NC",390.74
37095,"Hyde, NC",612.7
37097,"Iredell, NC",573.83
37099,"Jackson, NC",490.76
37101,"Johnston, NC",791.3
37103,"Jones, NC",470.71
37105,"Lee, NC",254.96
37107,"Lenoir, NC",400.59
37109,"Lincoln, NC",297.94
37111,"McDowell, NC",440.61
37113,"Macon, NC",515.56
37115,"Madison, NC",449.57
37117,"Martin, NC",461.22
37119,"Mecklenburg, NC",523.84
37121,"Mitchell, NC",221.43
37123,"Montgomery, NC",491.76
37125,"Moore, NC",697.84
37127,"Nash, NC",540.41
37129,"New Hanover, NC",191.53
37131,"Northampton, NC",536.59
37133,"Onslow, NC",762.74
37135,"Orange, NC",397.96
37137,"Pamlico, NC",336.54
37139,"Pasquotank, NC",226.88
37141,"Pender, NC",869.8
37143,"Perquimans, NC",247.09
37145,"Person, NC",392.32
37147,"Pitt, NC",651.98
37149,"Polk, NC",237.79
37151,"Randolph, NC",782.52
37153,"Richmond, NC",473.82
37155,"Robeson, NC",949.22
37157,"Rockingham, NC",565.55
37159,"Rowan, NC",511.37
37161,"Rutherford, NC",564.15
37163,"Sampson, NC",944.74
37165,"Scotland, NC",318.85
37167,"Stanly, NC",395.09
37169,"Stokes, NC",448.86
37171,"Surry, NC",532.17
37173,"Swain, NC",528.0
37175,"Transylvania, NC",378.53
37177,"Tyrrell, NC",389.04
37179,"Union, NC",631.52
37181,"Vance, NC",253.52
37183,"Wake, NC",835.22
37185,"Warren, NC",428.46
37187,"Washington, NC",348.14
37189,"Watauga, NC",312.56
37191,"Wayne, NC",553.09
37193,"Wilkes, NC",754.28
37195,"Wilson, NC",368.17
37197,"Yadkin, NC",334.83
37199,"Yancey, NC",312.6
38001,"Adams, ND",987.62
38003,"Barnes, ND",1491.55
38005,"Benson, ND",1388.71
38007,"Billings, ND",1148.85
38009,"Bottineau, ND",1668.42
38011,"Bowman, ND",1161.81
38013,"Burke, ND",1103.57
38015,"Burleigh, ND",1632.65
38017,"Cass, ND",1764.94
38019,"Cavalier, ND",1488.75
38021,"Dickey, ND",1131.47
38023,"Divide, ND",1260.79
38025,"Dunn, ND",2008.46
38027,"Eddy, ND",630.17
38029,"Emmons, ND",1510.44
38031,"Foster, ND",635.45
38033,"Golden Valley, ND",1000.79
38035,"Grand Forks, ND",1436.38
38037,"Grant, ND",1659.14
38039,"Griggs, ND",708.82
38041,"Hettinger, ND",1132.22
38043,"Kidder, ND",1351.19
38045,"LaMoure, ND",1145.94
38047,"Logan, ND",992.82
38049,"McHenry, ND",1873.95
38051,"McIntosh, ND",974.73
38053,"McKenzie, ND",2760.32
38055,"McLean, ND",2110.88
38057,"Mercer, ND",1042.96
38059,"Morton, ND",1926.27
38061,"Mountrail, ND",1825.3
38063,"Nelson, ND",981.78
38065,"Oliver, ND",722.51
38067,"Pembina, ND",1118.69
38069,"Pierce, ND",1018.6
38071,"Ramsey, ND",1186.85
38073,"Ransom, ND",862.36
38075,"Renville, ND",877.05
38077,"Richland, ND",1435.78
38079,"Rolette, ND",903.08
38081,"Sargent, ND",858.51
38083,"Sheridan, ND",972.38
38085,"Sioux, ND",1094.09
38087,"Slope, ND",1214.92
38089,"Stark, ND",1334.74
38091,"Steele, ND",712.22
38093,"Stutsman, ND",2221.72
38095,"Towner, ND",1024.56
38097,"Traill, ND",861.95
38099,"Walsh, ND",1281.93
38101,"Ward, ND",2013.28
38103,"Wells, ND",1271.05
38105,"Williams, ND",2077.4
39001,"Adams, OH",583.87
39003,"Allen, OH",402.5
39005,"Ashland, OH",422.95
39007,"Ashtabula, OH",701.93
39009,"Athens, OH",503.6
39011,"Auglaize, OH",401.39
39013,"Belmont, OH",532.13
39015,"Brown, OH",490.02
39017,"Butler, OH",467.06
39019,"Carroll, OH",394.61
39021,"Champaign, OH",428.67
39023,"Clark, OH",397.47
39025,"Clermont, OH",452.1
39027,"Clinton, OH",408.68
39029,"Columbiana, OH",531.89
39031,"Coshocton, OH",563.91
39033,"Crawford, OH",401.79
39035,"Cuyahoga, OH",457.19
39037,"Darke, OH",598.1
39039,"Defiance, OH",411.46
39041,"Delaware, OH",443.1
39043,"Erie, OH",251.56
39045,"Fairfield, OH",504.41
39047,"Fayette, OH",406.36
39049,"Franklin, OH",532.19
39051,"Fulton, OH",405.44
39053,"Gallia, OH",466.53
39055,"Geauga, OH",400.16
39057,"Greene, OH",413.73
39059,"Guernsey, OH",522.25
39061,"Hamilton, OH",405.91
39063,"Hancock, OH",531.36
39065,"Hardin, OH",470.41
39067,"Harrison, OH",402.34
39069,"Henry, OH",416.01
39071,"Highland, OH",553.08
39073,"Hocking, OH",421.32
39075,"Holmes, OH",422.53
39077,"Huron, OH",491.5
39079,"Jackson, OH",420.3
39081,"Jefferson, OH",408.33
39083,"Knox, OH",525.49
39085,"Lake, OH",227.49
39087,"Lawrence, OH",453.37
39089,"Licking, OH",682.5
39091,"Logan, OH",458.43
39093,"Lorain, OH",491.1
39095,"Lucas, OH",340.86
39097,"Madison, OH",465.88
39099,"Mahoning, OH",411.62
39101,"Marion, OH",403.76
39103,"Medina, OH",421.36
39105,"Meigs, OH",430.1
39107,"Mercer, OH",462.45
39109,"Miami, OH",406.58
39111,"Monroe, OH",455.72
39113,"Montgomery, OH",461.55
39115,"Morgan, OH",416.42
39117,"Morrow, OH",406.08
39119,"Muskingum, OH",664.58
39121,"Noble, OH",398.01
39123,"Ottawa, OH",254.92
39125,"Paulding, OH",416.44
39127,"Perry, OH",407.97
39129,"Pickaway, OH",501.32
39131,"Pike, OH",440.28
39133,"Portage, OH",487.38
39135,"Preble, OH",424.12
39137,"Putnam, OH",482.52
39139,"Richland, OH",495.27
39141,"Ross, OH",689.19
39143,"Sandusky, OH",408.45
39145,"Scioto, OH",610.21
39147,"Seneca, OH",551.02
39149,"Shelby, OH",407.68
39151,"Stark, OH",575.27
39153,"Summit, OH",412.75
39155,"Trumbull, OH",618.3
39157,"Tuscarawas, OH",567.64
39159,"Union, OH",431.73
39161,"Van Wert, OH",409.16
39163,"Vinton, OH",412.36
39165,"Warren, OH",401.31
39167,"Washington, OH",631.97
39169,"Wayne, OH",554.93
39171,"Williams, OH",420.97
39173,"Wood, OH",617.21
39175,"Wyandot, OH",406.87
40001,"Adair, OK",573.48
40003,"Alfalfa, OK",866.46
40005,"Atoka, OK",975.52
40007,"Beaver, OK",1814.67
40009,"Beckham, OK",901.81
40011,"Blaine, OK",928.42
40013,"Bryan, OK",904.47
40015,"Caddo, OK",1278.29
40017,"Canadian, OK",896.63
40019,"Carter, OK",822.18
40021,"Cherokee, OK",749.41
40023,"Choctaw, OK",770.36
40025,"Cimarron, OK",1834.74
40027,"Cleveland, OK",538.77
40029,"Coal, OK",516.68
40031,"Comanche, OK",1069.29
40033,"Cotton, OK",632.65
40035,"Craig, OK",761.35
40037,"Creek, OK",950.14
40039,"Custer, OK",988.82
40041,"Delaware, OK",738.18
40043,"Dewey, OK",999.48
40045,"Ellis, OK",1231.52
40047,"Garfield, OK",1058.47
40049,"Garvin, OK",802.12
40051,"Grady, OK",1100.5
40053,"Grant, OK",1000.87
40055,"Greer, OK",639.32
40057,"Harmon, OK",537.19
40059,"Harper, OK",1039.02
40061,"Haskell, OK",576.52
40063,"Hughes, OK",804.65
40065,"Jackson, OK",802.65
40067,"Jefferson, OK",758.83
40069,"Johnston, OK",642.94
40071,"Kay, OK",919.73
40073,"Kingfisher, OK",898.16
40075,"Kiowa, OK",1015.23
40077,"Latimer, OK",722.08
40079,"Le Flore, OK",1589.21
40081,"Lincoln, OK",952.31
40083,"Logan, OK",743.83
40085,"Love, OK",514.0
40087,"McClain, OK",570.7
40089,"McCurtain, OK",1850.01
40091,"McIntosh, OK",618.5
40093,"Major, OK",954.99
40095,"Marshall, OK",371.08
40097,"Mayes, OK",655.39
40099,"Murray, OK",416.46
40101,"Muskogee, OK",810.45
40103,"Noble, OK",731.9
40105,"Nowata, OK",565.78
40107,"Okfuskee, OK",618.57
40109,"Oklahoma, OK",708.82
40111,"Okmulgee, OK",697.35
40113,"Osage, OK",2246.36
40115,"Ottawa, OK",470.82
40117,"Pawnee, OK",567.96
40119,"Payne, OK",684.7
40121,"Pittsburg, OK",1305.46
40123,"Pontotoc, OK",720.44
40125,"Pottawatomie, OK",787.67
40127,"Pushmataha, OK",1395.84
40129,"Roger Mills, OK",1141.14
40131,"Rogers, OK",675.63
40133,"Seminole, OK",632.84
40135,"Sequoyah, OK",673.27
40137,"Stephens, OK",870.24
40139,"Texas, OK",2041.26
40141,"Tillman, OK",871.13
40143,"Tulsa, OK",570.25
40145,"Wagoner, OK",561.56
40147,"Washington, OK",415.45
40149,"Washita, OK",1003.17
40151,"Woods, OK",1286.45
40153,"Woodward, OK",1242.4
41001,"Baker, OR",3068.36
41003,"Benton, OR",675.94
41005,"Clackamas, OR",1870.32
41007,"Clatsop, OR",829.05
41009,"Columbia, OR",657.36
41011,"Coos, OR",1596.17
41013,"Crook, OR",2979.09
41015,"Curry, OR",1627.46
41017,"Deschutes, OR",3018.19
41019,"Douglas, OR",5036.08
41021,"Gilliam, OR",1204.81
41023,"Grant, OR",4528.54
41025,"Harney, OR",10133.17
41027,"Hood River, OR",521.95
41029,"Jackson, OR",2783.55
41031,"Jefferson, OR",1780.79
41033,"Josephine, OR",1639.67
41035,"Klamath, OR",5941.05
41037,"Lake, OR",8138.98
41039,"Lane, OR",4553.12
41041,"Lincoln, OR",979.77
41043,"Linn, OR",2290.13
41045,"Malheur, OR",9887.53
41047,"Marion, OR",1182.33
41049,"Morrow, OR",2031.61
41051,"Multnomah, OR",431.3
41053,"Polk, OR",740.79
41055,"Sherman, OR",823.69
41057,"Tillamook, OR",1102.58
41059,"Umatilla, OR",3215.51
41061,"Union, OR",2036.61
41063,"Wallowa, OR",3146.19
41065,"Wasco, OR",2381.52
41067,"Washington, OR",724.23
41069,"Wheeler, OR",1714.75
41071,"Yamhill, OR",715.86
42001,"Adams, PA",518.67
42003,"Allegheny, PA",730.08
42005,"Armstrong, PA",653.2
42007,"Beaver, PA",434.71
42009,"Bedford, PA",1012.3
42011,"Berks, PA",856.51
42013,"Blair, PA",525.8
42015,"Bradford, PA",1147.4
42017,"Bucks, PA",604.31
42019,"Butler, PA",788.6
42021,"Cambria, PA",688.35
42023,"Cameron, PA",396.23
42025,"Carbon, PA",381.46
42027,"Centre, PA",1109.92
42029,"Chester, PA",750.51
42031,"Clarion, PA",600.83
42033,"Clearfield, PA",1144.72
42035,"Clinton, PA",887.98
42037,"Columbia, PA",483.11
42039,"Crawford, PA",1012.3
42041,"Cumberland, PA",545.46
42043,"Dauphin, PA",525.05
42045,"Delaware, PA",183.84
42047,"Elk, PA",827.36
42049,"Erie, PA",799.15
42051,"Fayette, PA",790.34
42053,"Forest, PA",427.19
42055,"Franklin, PA",772.22
42057,"Fulton, PA",437.55
42059,"Greene, PA",575.95
42061,"Huntingdon, PA",874.64
42063,"Indiana, PA",827.03
42065,"Jefferson, PA",652.43
42067,"Juniata, PA",391.35
42069,"Lackawanna, PA",459.08
42071,"Lancaster, PA",943.81
42073,"Lawrence, PA",358.18
42075,"Lebanon, PA",361.83
42077,"Lehigh, PA",345.17
42079,"Luzerne, PA",890.33
42081,"Lycoming, PA",1228.59
42083,"McKean, PA",979.2
42085,"Mercer, PA",672.58
42087,"Mifflin, PA",411.03
42089,"Monroe, PA",608.29
42091,"Montgomery, PA",483.04
42093,"Montour, PA",130.24
42095,"Northampton, PA",369.67
42097,"Northumberland, PA",458.37
42099,"Perry, PA",551.45
42101,"Philadelphia, PA",134.1
42103,"Pike, PA",544.96
42105,"Potter, PA",1081.32
42107,"Schuylkill, PA",778.63
42109,"Snyder, PA",328.71
42111,"Somerset, PA",1074.37
42113,"Sullivan, PA",449.94
42115,"Susquehanna, PA",823.44
42117,"Tioga, PA",1133.79
42119,"Union, PA",315.98
42121,"Venango, PA",674.28
42123,"Warren, PA",884.14
42125,"Washington, PA",856.99
42127,"Wayne, PA",725.6
42129,"Westmoreland, PA",1027.55
42131,"Wyoming, PA",397.32
42133,"York, PA",904.18
44001,"Bristol, RI",24.16
44003,"Kent, RI",168.53
44005,"Newport, RI",102.39
44007,"Providence, RI",409.5
44009,"Washington, RI",329.24
45001,"Abbeville, SC",490.48
45003,"Aiken, SC",1071.03
45005,"Allendale, SC",408.09
45007,"Anderson, SC",715.43
45009,"Bamberg, SC",393.37
45011,"Barnwell, SC",548.39
45013,"Beaufort, SC",576.28
45015,"Berkeley, SC",1098.86
45017,"Calhoun, SC",381.15
45019,"Charleston, SC",916.09
45021,"Cherokee, SC",392.66
45023,"Chester, SC",580.66
45025,"Chesterfield, SC",799.08
45027,"Clarendon, SC",606.94
45029,"Colleton, SC",1056.49
45031,"Darlington, SC",561.15
45033,"Dillon, SC",404.87
45035,"Dorchester, SC",573.23
45037,"Edgefield, SC",500.41
45039,"Fairfield, SC",686.28
45041,"Florence, SC",799.96
45043,"Georgetown, SC",813.55
45045,"Greenville, SC",785.12
45047,"Greenwood, SC",454.73
45049,"Hampton, SC",559.9
45051,"Horry, SC",1133.9
45053,"Jasper, SC",655.32
45055,"Kershaw, SC",726.56
45057,"Lancaster, SC",549.16
45059,"Laurens, SC",713.8
45061,"Lee, SC",410.18
45063,"Lexington, SC",698.91
45065,"McCormick, SC",359.13
45067,"Marion, SC",489.23
45069,"Marlboro, SC",479.67
45071,"Newberry, SC",630.04
45073,"Oconee, SC",626.33
45075,"Orangeburg, SC",1106.1
45077,"Pickens, SC",496.41
